localtime,time,symbol,signal,signal_sim,SameFlag
09:46:44.005836941,09:46:44.000000000,sh603988,2.40996,2.40996,1
09:46:46.977767978,09:46:46.000000000,sh603988,-0.566298,-0.566298,1
09:46:49.974631386,09:46:49.000000000,sh603988,-5.4412699999999985,-5.4412699999999985,1
09:46:52.962676271,09:46:52.000000000,sh603988,-4.22323,-4.22323,1
09:46:55.972937266,09:46:55.000000000,sh603988,-4.97294,-4.97294,1
09:46:58.966638034,09:46:58.000000000,sh603988,1.58457,1.58457,1
09:47:01.972083378,09:47:01.000000000,sh603988,3.31912,3.31912,1
09:47:04.971351100,09:47:04.000000000,sh603988,4.94698,4.94698,1
09:47:07.975994211,09:47:07.000000000,sh603988,13.3479,13.3479,1
09:47:10.643593113,09:47:10.000000000,sh603988,15.4098,15.4098,1
09:47:13.636831361,09:47:13.000000000,sh603988,17.9011,17.9011,1
09:47:16.635606548,09:47:16.000000000,sh603988,18.5928,18.5928,1
09:47:19.637505437,09:47:19.000000000,sh603988,20.632,20.632,1
09:47:22.634229067,09:47:22.000000000,sh603988,22.4703,22.4703,1
09:47:25.632696801,09:47:25.000000000,sh603988,16.0568,16.0568,1
09:47:28.633044467,09:47:28.000000000,sh603988,9.64659,9.64659,1
09:47:31.631750596,09:47:31.000000000,sh603988,8.154810000000001,8.154810000000001,1
09:47:34.576889126,09:47:34.000000000,sh603988,4.10737,4.10737,1
09:47:37.576350081,09:47:37.000000000,sh603988,5.43163,5.43163,1
09:47:41.116062509,09:47:41.000000000,sh603988,10.2428,10.2428,1
09:47:44.127832149,09:47:44.000000000,sh603988,5.92586,5.92586,1
09:47:47.122469497,09:47:47.000000000,sh603988,8.31578,8.31578,1
09:47:50.011384687,09:47:50.000000000,sh603988,5.11132,5.11132,1
09:47:52.907563829,09:47:52.000000000,sh603988,7.697710000000002,7.697710000000002,1
09:47:55.622032027,09:47:55.000000000,sh603988,7.316210000000001,7.316210000000001,1
09:47:58.618552294,09:47:58.000000000,sh603988,3.07076,3.07076,1
09:48:02.109822799,09:48:02.000000000,sh603988,3.82235,3.82235,1
09:48:05.105197580,09:48:05.000000000,sh603988,5.21841,5.21841,1
09:48:08.086921435,09:48:08.000000000,sh603988,3.09653,3.09653,1
